Date,Last Price,Volume,SMAVG (15)
2023-11-02 19:30:00,109.11,3279602,1430561

2023-11-02 19:00:00,108.715,1057493,1338304

2023-11-02 18:30:00,108.43,795239,1331794

2023-11-02 18:00:00,108.525,653268,1320855

2023-11-02 17:30:00,108.685,691543,1322718

2023-11-02 17:00:00,108.46,704449,1332795

2023-11-02 16:30:00,108.19,752247,1322460

2023-11-02 16:00:00,107.88,1213561,1331357

2023-11-02 15:30:00,108.00,807449,1314291

2023-11-02 15:00:00,107.65,1091104,1327329

2023-11-02 14:30:00,107.845,1183619,1347971

2023-11-02 14:00:00,107.28,1270696,1393302

2023-11-02 13:30:00,107.26,1996107,1480267

2023-11-01 19:30:00,105.61,4435654,1398540

2023-11-01 19:00:00,106.225,1526378,1153288

2023-11-01 18:30:00,105.98,1895759,1096256

2023-11-01 18:00:00,106.17,959841,1002348

2023-11-01 17:30:00,106.20,631152,975889

2023-11-01 17:00:00,106.27,681215,982597

2023-11-01 16:30:00,106.285,842694,979569

2023-11-01 16:00:00,106.37,549417,960306

2023-11-01 15:30:00,106.64,885715,974035

2023-11-01 15:00:00,106.465,957564,970441

2023-11-01 14:30:00,106.89,1003022,974299

2023-11-01 14:00:00,106.625,1400730,1006932

2023-11-01 13:30:00,106.78,1863582,1075401

2023-10-31 19:30:00,105.84,2575167,1015128

2023-10-31 19:00:00,105.715,770206,886216

2023-10-31 18:30:00,105.88,756875,890344

2023-10-31 18:00:00,105.535,670904,906975

2023-10-31 17:30:00,105.77,487141,912732

2023-10-31 17:00:00,105.6408,562954,925098

2023-10-31 16:30:00,105.815,731772,952124

2023-10-31 16:00:00,105.45,635792,958925

2023-10-31 15:30:00,105.79,553749,968925

2023-10-31 15:00:00,105.855,755352,991333

2023-10-31 14:30:00,105.66,831805,1010609

2023-10-31 14:00:00,105.71,1015428,1054120

2023-10-31 13:30:00,105.57,1492530,1121316

2023-10-30 19:30:00,105.83,2427756,1076005

2023-10-30 19:00:00,105.725,959484,970402

2023-10-30 18:30:00,105.5028,641487,953002

2023-10-30 18:00:00,105.48,832136,973184

2023-10-30 17:30:00,105.74,1006339,979723

2023-10-30 17:00:00,105.55,757254,971742

2023-10-30 16:30:00,105.58,672635,973105

2023-10-30 16:00:00,105.47,968334,1009456

2023-10-30 15:30:00,105.415,833796,1016722

2023-10-30 15:00:00,105.385,785787,1048292

2023-10-30 14:30:00,105.57,889872,1087865

2023-10-30 14:00:00,105.73,1044487,1211441

